name,price
趴趴轰PaPaHome·奢华别墅轰趴(叙南公馆店),￥220
九木杂物社(晶耀前滩店),￥52
美上美学·美术培训(陆家嘴校区),￥61
润元堂正骨推拿艾灸,￥155
大头家·宠物蛋糕·手工零食·宠物鲜食,￥23
趴趴轰PaPaHome·奢华别墅轰趴·圆舞曲,￥255
巧禾农场·亲子活动·团建农家乐,￥182
巴黎贝甜(宝山龙湖店),￥58
A MOON 宠物馆(星河湾店),￥248
蘭派·别墅派对轰趴馆(Downtown人民广场店),￥515
牧白手作(徐汇绿地缤纷汇店),￥18
柚子(金山百联店),￥310
推小艾·推拿艾灸足疗(日月光店),￥138
清工坊·压金丝嵌宝·玉雕·金工手工坊,暂无价格
Alimentari Favola手工披萨和意面(迪士尼小镇店),￥133
九木杂物社(中环百联购物中心店),￥68
MINI MARS KIDS CLUB亲子家庭中心(蟠龙天地店),￥307
绛梣Tea &Coffee(金山万达店),￥24
CatCay撸猫·下午茶·Tufting毛线画·潮玩手作DIY(人...,￥92
巴黎贝甜(龙湖闵行天街店),￥74
有方田野·共享农场·菜园·露营·亲子研学(暮谷店),暂无价格
龙锦结·道法手工编绳(合生汇店),￥857
花之韵·轻简美肤·量肤抗衰管理,￥173
九木杂物社(宝山经纬汇店),￥74
趴趴轰PaPaHome·生日派对·团建聚会·轰趴(北外滩店),￥245
榴小汐品质千层蛋糕(上海惠南店),￥101
主调花艺Little Master(张江朗诗店),￥321
星座咖啡(文汇路店),￥30
破店肥哈·海鲜·烧烤(虹桥天街店),￥112
ROMA,￥218
炮炮兵探险乐园(金山无人机基地店),暂无价格
LAN COFFEE 蓝·咖啡,￥21
鹿石画室|美院系统教学(嘉定新城店),￥2235
MELAND CLUB(虹桥万象城店),￥276
三月花田(州桥老街店),￥192
夭夭手作·新中式文玩·国潮,暂无价格
花喜物花店·Floral Fā Fā 香薰蜡烛手作DIY·气球派...,￥227
遇叁楼Gin·Cocktail(松江万达店),￥111
蟹上黄·蟹黄面(南京东路店),￥102
网鱼网咖(奉贤海旗路店),￥33
青岚会馆·棋牌·咖啡·餐饮,￥44
丌·SPACE派空间轰趴·团建生日派对(星游城店),￥192
羿庭(外滩华尔道夫酒店),￥207
THE NEST(外滩店),￥490
龙锦结·道法手工编绳(长宁龙之梦店),￥431
百万石全日餐厅,￥227
洛糖集合店·咖啡·面包·蛋糕·甜品(吾悦店),￥98
喜绳阁美甲美发(海尚墅林苑店),暂无价格
乐稻营·烧烤·团建·cs,￥122
网鱼网咖(松江仓汇店),￥37
芳芳手工编织,暂无价格
洛舒轩经络减肥(蓝村店),￥236
EAGO FLOWER 艺阁花坊(阿克苏路店),￥136
诡谷·沉浸式侦探演绎剧本杀推理馆(人民广场店),￥151
和睦家手工小食,￥24
Riotlily艾特里里(华润时代广场店),￥574
吉绳饰 手工编绳 培训,暂无价格
趴趴轰PaPaHome·奢华别墅轰趴(轻奢欧式宫廷店),￥386
九木杂物社(长泰广场店),￥114
Riotlily艾特里里(久光百货店),暂无价格
橙子公司团建·射箭保龄球·露营蹦床卡丁车(长宁店),暂无价格
泽元柒茶茶馆,￥69
山岛,￥133
礼想花园 MISSWHO(上海香溢店),￥315
MINI MARS KIDS CLUB亲子家庭中心(静安江宁路店),￥333
GoPlay趣玩团建拓展·年会·跑男(静安店),￥272
D·K Yogurt Bar·朵拉手工希腊酸奶,￥31
TeJU X HC甜品(华山路777号店),￥22
丁记纯手工水饺馄饨烧卖,暂无价格
中华食味手工面馆,暂无价格
寇依养生减肥(宝龙店),暂无价格
湖南手工米粉,暂无价格
潮庐·潮汕卤味·手工点心(定西路店),￥37
悦莉佳·皮肤管理美学中心(南京西路店),暂无价格
七色莹香美甲美睫,￥165
陆鹿手工水饺馄饨,暂无价格
王妈手工包子铺(盛世馨园店),暂无价格
私房手工鲜饺(汇福·大玥城店),暂无价格
COSTA COFFEE(外高桥啡速店),￥36
噗噗魔法屋·diy银饰·流麻·私人定制·团建,￥133
网鱼网咖(闵行航东路店),￥43
琦蛋·手帐手作团建diy体验馆,暂无价格
肤智美丽工厂(金沙江路店),￥274
大福手工水饺,暂无价格
布莱德·纯手工包子,暂无价格
手工水饺(灵石路店),￥14
MO师傅正骨推拿(长寿路店),暂无价格
蘭穆香手工牛肉面,￥16
派勒极披萨(南翔廿肆店),￥69
蘭穆香面條手工牛肉面,暂无价格
祝嘉香境,暂无价格
旬觅寿司刺身(三文鱼·海鲜·南桥店),￥15
问西东手工凉皮,暂无价格
手工红烧牛肉面(秋岚路店),￥27
